Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1639569962,2021-12-15T12:06:02Z,AZU4611,"-22.688583,-42.308453",11000,223,71
1639569974,2021-12-15T12:06:14Z,AZU4611,"-22.684673,-42.295685",11000,223,71
1639569986,2021-12-15T12:06:26Z,AZU4611,"-22.68067,-42.282612",11000,221,71
1639569998,2021-12-15T12:06:38Z,AZU4611,"-22.676743,-42.269997",11000,222,71
1639570011,2021-12-15T12:06:51Z,AZU4611,"-22.672714,-42.256813",11000,223,71
1639570023,2021-12-15T12:07:03Z,AZU4611,"-22.668753,-42.243908",11000,222,71
1639570035,2021-12-15T12:07:15Z,AZU4611,"-22.664841,-42.231091",11000,221,71
1639570047,2021-12-15T12:07:27Z,AZU4611,"-22.660885,-42.218372",10925,224,71
1639570062,2021-12-15T12:07:42Z,AZU4611,"-22.655951,-42.201996",10600,226,71
1639570074,2021-12-15T12:07:54Z,AZU4611,"-22.651808,-42.188618",10275,230,71
1639570086,2021-12-15T12:08:06Z,AZU4611,"-22.64757,-42.17514",9950,244,70
1639570099,2021-12-15T12:08:19Z,AZU4611,"-22.642868,-42.160233",9600,261,71
1639570120,2021-12-15T12:08:40Z,AZU4611,"-22.634445,-42.132668",9025,274,71
1639570132,2021-12-15T12:08:52Z,AZU4611,"-22.629501,-42.116287",8675,273,72
1639570144,2021-12-15T12:09:04Z,AZU4611,"-22.624947,-42.101086",8350,264,71
1639570156,2021-12-15T12:09:16Z,AZU4611,"-22.620209,-42.085976",8000,259,71
1639570172,2021-12-15T12:09:32Z,AZU4611,"-22.614304,-42.067051",7575,255,71
1639570184,2021-12-15T12:09:44Z,AZU4611,"-22.609818,-42.052517",7275,250,71
1639570196,2021-12-15T12:09:56Z,AZU4611,"-22.605423,-42.038334",6975,249,71
1639570209,2021-12-15T12:10:09Z,AZU4611,"-22.600832,-42.023518",6750,244,71
1639570230,2021-12-15T12:10:30Z,AZU4611,"-22.593105,-41.998798",6375,247,71
1639570242,2021-12-15T12:10:42Z,AZU4611,"-22.588776,-41.984509",6125,250,72
1639570254,2021-12-15T12:10:54Z,AZU4611,"-22.584503,-41.970619",5900,248,71
1639570266,2021-12-15T12:11:06Z,AZU4611,"-22.579929,-41.955769",5600,246,71
1639570281,2021-12-15T12:11:21Z,AZU4611,"-22.574203,-41.938309",5275,242,66
1639570287,2021-12-15T12:11:27Z,AZU4611,"-22.571228,-41.932369",5150,238,59
1639570288,2021-12-15T12:11:28Z,AZU4611,"-22.570313,-41.93087",5100,238,56
1639570290,2021-12-15T12:11:30Z,AZU4611,"-22.56926,-41.929371",5075,237,52
1639570293,2021-12-15T12:11:33Z,AZU4611,"-22.5672,-41.926723",5025,235,49
1639570297,2021-12-15T12:11:37Z,AZU4611,"-22.564224,-41.923477",4950,232,43
